SU_ID,source,alter,UniqueID1,ParentUniqueID1
22222286,2,5,3000903,3000897
22222287,0,0,3000904,3000904
22222287,1,1,3000113,3000904
22222287,1,2,3000905,3000904
22222287,2,1,3000906,3000904
22222287,2,2,3000907,3000904
22222287,2,3,3000908,3000904
22222287,2,6,3000113,3000904
22222288,0,0,3000909,3000909
22222288,1,1,3000910,3000909
22222288,1,2,3000911,3000909
22222288,1,3,3000912,3000909
22222288,1,4,3000913,3000909
22222288,2,1,3000914,3000909
22222288,2,2,3000915,3000909
22222288,2,3,3000916,3000909
22222288,2,4,3000917,3000909
22222288,2,5,3000918,3000909
22222304,0,0,3000919,3000919
22222304,1,1,3000920,3000919
22222304,2,1,3000921,3000919
22222304,2,2,3000922,3000919
22222316,0,0,3000923,3000923
22222316,1,1,3000114,3000923
22222316,1,2,3000924,3000923
22222316,2,1,3000114,3000923
22222317,0,0,3000114,3000114
22222317,1,1,3000925,3000114
22222317,1,2,3000926,3000114
22222317,2,1,3000927,3000114
22222318,0,0,3000928,3000928
22222318,1,1,3000929,3000928
22222318,1,2,3000930,3000928
22222318,2,1,3000931,3000928
22222318,2,2,3000932,3000928
22222318,2,3,3000933,3000928
22222322,0,0,3000934,3000934
22222322,1,1,3000935,3000934
22222322,1,2,3000936,3000934
22222322,2,1,3000937,3000934
22222322,2,2,3000938,3000934
22222328,0,0,3000939,3000939
22222328,1,1,3000940,3000939
22222328,1,2,3000941,3000939
22222328,2,1,3000942,3000939
22222329,0,0,3000115,3000115
22222329,1,1,3000943,3000115
22222329,1,2,3000944,3000115
22222329,1,3,3000945,3000115
22222329,2,1,3000946,3000115
22222329,2,2,3000947,3000115
22222329,2,3,3000948,3000115
22222334,0,0,3000949,3000949
22222334,1,1,3000950,3000949
22222334,1,2,3000116,3000949
22222334,1,3,3000117,3000949
22222334,2,1,3000117,3000949
22222334,2,2,3000951,3000949
22222341,0,0,3000952,3000952
22222341,1,1,3000953,3000952
22222341,1,2,3000954,3000952
22222341,2,1,3000955,3000952
22222341,2,2,3000956,3000952
22222341,2,3,3000957,3000952
22222341,2,4,3000958,3000952
22222341,2,5,3000959,3000952
22222342,0,0,3000960,3000960
22222342,1,1,3000961,3000960
22222342,2,1,3000962,3000960
22222352,0,0,3000963,3000963
22222352,1,1,3000964,3000963
22222352,2,1,3000965,3000963
22222352,2,2,3000966,3000963
22222352,2,3,3000967,3000963
22222353,0,0,3000968,3000968
22222353,2,1,3000969,3000968
22222353,2,2,3000970,3000968
22222354,0,0,3000971,3000971
22222354,1,1,3000972,3000971
22222354,1,2,3000973,3000971
22222354,2,1,3000974,3000971
22222354,2,2,3000975,3000971
22222354,2,3,3000976,3000971
22222354,2,4,3000977,3000971
22222354,2,5,3000978,3000971
22222376,0,0,3000118,3000118
22222376,1,1,3000979,3000118
22222376,2,1,3000980,3000118
22222377,0,0,3000119,3000119
22222377,1,1,3000981,3000119
22222377,1,2,3000982,3000119
22222377,1,3,3000118,3000119
22222377,1,4,3000120,3000119
22222377,2,1,3000120,3000119
22222378,0,0,3000121,3000121
22222378,1,1,3000983,3000121
22222378,1,2,3000984,3000121
22222378,1,3,3000985,3000121
22222378,1,4,3000122,3000121
22222378,2,1,3000986,3000121
22222378,2,2,3000987,3000121
22222378,2,3,3000988,3000121
22222382,0,0,3000989,3000989
22222382,1,1,3000101,3000989
22222382,1,2,3000990,3000989
22222382,1,3,3000991,3000989
22222382,2,1,3000992,3000989
22222382,2,2,3000993,3000989
22222382,2,3,3000994,3000989
22222382,2,4,3000995,3000989
22222382,2,5,3000996,3000989
22222406,0,0,3000112,3000112
22222406,1,1,3000997,3000112
22222406,1,2,3000998,3000112
22222406,2,1,3000999,3000112
22222408,0,0,3001000,3001000
22222408,1,1,3001001,3001000
22222408,2,1,3001002,3001000
22222408,2,2,3001003,3001000
22222437,0,0,3001004,3001004
22222437,1,1,3001005,3001004
22222437,1,2,3001006,3001004
22222437,2,1,3001007,3001004
22222454,0,0,3000123,3000123
22222454,1,1,3001008,3000123
22222454,1,2,3001009,3000123
22222454,2,1,3001010,3000123
22222454,2,2,3000124,3000123
22222455,0,0,3000125,3000125
22222455,1,1,3001011,3000125
22222455,1,2,3001012,3000125
22222455,2,1,3001013,3000125
22222455,2,2,3001014,3000125
22222460,0,0,3001015,3001015
22222460,1,1,3001016,3001015
22222460,1,2,3001017,3001015
22222460,2,1,3001018,3001015
22222460,2,2,3001019,3001015
22222460,2,3,3001020,3001015
22222460,2,4,3001021,3001015
22222460,2,5,3001022,3001015
22222490,0,0,3001023,3001023
22222490,2,1,3001024,3001023
22222490,2,2,3001025,3001023
22222503,0,0,3001026,3001026
22222503,1,1,3001027,3001026
22222503,1,2,3001028,3001026
22222503,2,1,3001029,3001026
